Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6, C9",0603,3,2.2uF,
"C10, C11, C12, C13, C14, C17, C18, C20, C38, C4, C40",0603,11,1uF,
"C15, C16, C2, C27, C28, C3, C30, C31, C32, C35, C36, C39, C41",0603,13,100nF,
C19,0603,1,100nF 50V,
"C21, C22",1206,2,470nF 100V,
"C23, C26",0603,2,1nF,
C24,0603,1,100pF 100V,
"C25, C33",0805,2,100nF 100V,
C29,YFF31HC,1,YFF31AH2A104MT0Y0N,
C34,0402,1,10pF,
C37,0603,1,100pF,
"C42, C5, C8",0603,3,10nF,
C7,0603,1,10uF,
D1,0603,1,RED,
"D2, D4",0603,2,GREEN,
"D3, D5",D_SOD-323,2,BAS316,
"E0, E1",PinSocket_2x13_P2.54mm_Vertical,2,Conn_02x13_Odd_Even,
J1,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,SiPM V+,
"J2, J3",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J4,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,SiPM In,
J5,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J6,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,SiPM Out,
K1,Relay_SPST_COTO_9091,1,COTO 9091-05-10,
K2,Relay_DPDT_Omron_G6K-2F,1,G6K-2F,
L1,L_APV_APH0420,1,APH0420T100M,
M1,PinHeader_1x02_P2.54mm_Vertical,1,Fan,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R15, R24, R3, R4, R41",0603,6,0,
"R10, R27, R5",0603,3,1.8k,
R11,0603,1,1M,
"R12, R18, R21, R8",0603,4,10k,
"R13, R19, R22, R23",0603,4,50,
R14,0402,1,4.7k,
R16,0603,1,10,
"R17, R20",0402,2,10,
R2,0603,1,1M  1%,
R25,0603,1,10M 1%,
"R26, R6",0603,2,1k,
"R28, R34",0402,2,1k,
"R29, R30, R31, R32, R36, R38, R39",0402,7,50,
"R33, R37",0402,2,100k,
R35,0603,1,100k 1%,
R42,0603,1,4.7k,
R7,0603,1,15k,
R9,0603,1,22k  1%,
U1,SOT-23-5,1,TPS79325,
U2,SOT-23-6,1,LM2776,
U3,SOT-23-5,1,TPS72325,
U4,VSSOP-10_3x3mm_P0.5mm,1,DAC8562SDG,
U5,SOT-23-5,1,OPA392DBV,
U6,QFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,1,LT3482,
U7,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,OPA858IDSGR,
U8,TSSOP-20_4.4x6.5mm_P0.65mm,1,ADS1247,
