Designator,Mid X,Mid Y,Rotation,Layer
C1,113.3,-119.3625,0.0,top
C10,147.0,-126.05,270.0,top
C11,142.8,-123.825,90.0,top
C12,145.3,-126.025,270.0,top
C13,108.2,-94.6,0.0,top
C14,104.1,-91.625,270.0,top
C15,129.4,-90.875,270.0,top
C16,115.125,-91.9375,0.0,top
C17,118.8875,-91.8375,180.0,top
C18,124.6125,-99.725,90.0,top
C19,131.7,-105.4,90.0,top
C2,113.25,-125.7,0.0,top
C20,121.425,-89.1625,270.0,top
C21,131.2,-109.5,0.0,top
C22,131.2,-112.0,180.0,top
C23,123.8,-103.3,0.0,top
C24,121.4,-107.6,90.0,top
C25,126.2,-110.2,270.0,top
C26,137.8,-94.4,90.0,top
C27,125.8625,-93.0,0.0,top
C28,187.6,-93.1,180.0,top
C29,186.1,-113.1,350.0,top
C3,119.45,-125.725,0.0,top
C30,178.725,-89.15,0.0,top
C31,178.725,-90.75,180.0,top
C32,181.225,-89.95,90.0,top
C33,183.0,-105.8,180.0,top
C34,182.9,-95.0,90.0,top
C35,116.325,-82.2375,0.0,top
C36,119.4,-82.2375,0.0,top
C37,128.0,-86.4,270.0,top
C38,121.825,-83.4625,90.0,top
C39,117.925,-80.7375,180.0,top
C4,127.9,-119.5,180.0,top
C40,147.6,-75.3,270.0,top
C41,178.5,-78.5,0.0,top
C42,186.4,-86.7,0.0,top
C5,115.9,-122.1375,270.0,top
C6,119.425,-119.2625,180.0,top
C7,125.8,-123.0,90.0,top
C8,121.95,-122.0625,90.0,top
C9,128.4,-125.6,180.0,top
D1,192.2,-120.0,170.0,top
D2,136.0,-104.8,270.0,top
D3,136.0,-97.8,270.0,top
D4,136.4,-80.6,0.0,top
D5,140.15,-80.5,0.0,top
E0,165.5,-125.48,270.0,bottom
E1,165.5,-74.48,270.0,bottom
J1,193.4,-114.4,350.0,top
J2,178.82,-99.37,180.0,top
J3,183.9,-99.37,180.0,top
J4,194.75,-100.0,0.0,top
J5,179.25,-82.73,180.0,top
J6,193.4,-85.6,10.0,top
K1,139.4,-104.695,270.0,top
K2,136.0,-86.2,270.0,top
L1,128.7,-100.5,0.0,top
M1,138.805,-123.8,270.0,top
Q1,154.4,-82.7,0.0,top
Q2,147.3,-82.6,0.0,top
R1,113.25,-117.4,0.0,top
R10,136.0,-101.2,270.0,top
R11,119.7,-107.6,90.0,top
R12,120.575,-102.0,180.0,top
R13,182.2,-113.1,80.0,top
R14,181.8,-95.0,90.0,top
R15,178.5875,-92.5,180.0,top
R16,187.6,-94.8,0.0,top
R17,184.4,-95.0,270.0,top
R18,187.7,-89.2,270.0,top
R19,184.7,-89.7,180.0,top
R2,139.4,-115.4,270.0,top
R20,181.25,-97.75,270.0,top
R21,186.4,-105.8,180.0,top
R22,111.775,-87.5875,0.0,top
R23,111.775,-85.9875,0.0,top
R24,126.2,-86.4,270.0,top
R25,129.8,-86.4,90.0,top
R26,125.0,-82.4,0.0,top
R27,133.0,-80.6,0.0,top
R28,158.4,-83.21,270.0,top
R29,156.4,-78.4,180.0,top
R3,119.4,-117.4,180.0,top
R30,162.7,-78.4,180.0,top
R31,152.2,-78.4,0.0,top
R32,160.6,-78.4,0.0,top
R33,157.2,-83.21,270.0,top
R34,151.1,-83.1,90.0,top
R35,142.2,-85.8,270.0,top
R36,154.3,-78.4,0.0,top
R37,149.9,-83.1,270.0,top
R38,158.5,-78.4,0.0,top
R39,164.8,-78.4,180.0,top
R4,124.8,-125.6,0.0,top
R41,178.625,-87.55,0.0,top
R42,166.6,-82.0,90.0,top
R5,188.8,-119.45674,350.0,top
R6,123.8,-105.1,0.0,top
R7,120.575,-105.2,180.0,top
R8,139.4,-94.425,90.0,top
R9,136.2,-94.4,90.0,top
U1,113.25,-122.6,270.0,top
U2,128.4,-122.6,270.0,top
U3,119.4,-122.6,270.0,top
U4,108.2,-92.0,180.0,top
U5,126.4,-90.2,0.0,top
U6,128.55,-105.5,180.0,top
U7,183.65,-92.15,90.0,top
U8,117.0,-87.0,0.0,top
